32;arms_factory;775.00;15.05;1904.00;5.43;0
32;arms_factory;777.00;13.43;1899.00;0.71;0
32;arms_factory;833.00;14.93;1989.00;4.83;0
32;arms_factory;833.00;14.93;1989.00;6.04;0
32;arms_factory;831.00;16.27;2004.00;3.88;0
32;arms_factory;818.00;15.95;1965.00;5.44;0
32;industrial_complex;812.00;14.48;1959.00;1.82;0
32;industrial_complex;857.00;20.50;2036.00;4.49;0
32;industrial_complex;817.00;16.55;2020.00;2.32;0
32;industrial_complex;860.00;16.10;1991.00;2.43;0
32;industrial_complex;850.00;18.35;1992.00;0.26;0
32;industrial_complex;843.00;20.60;2042.00;4.39;0
32;air_base;840.00;22.20;2037.00;0.77;0
32;supply_node;854.00;20.90;2034.00;3.44;0
32;supply_node;814.00;15.60;1965.00;1.20;0
32;supply_node;829.00;17.30;2022.00;2.68;0
32;supply_node;800.00;16.05;1925.00;5.61;0
32;supply_node;812.00;15.15;1914.00;2.27;0
32;supply_node;843.00;24.50;2018.00;4.85;0
32;supply_node;855.00;17.18;1988.00;1.50;0
32;supply_node;817.00;16.43;2023.00;2.98;0
32;supply_node;874.00;18.80;2039.00;0.74;0
32;supply_node;802.00;13.57;1940.00;3.68;0
32;supply_node;826.00;14.10;1929.00;5.15;0
32;supply_node;804.00;14.60;1960.00;2.91;0
32;supply_node;858.00;20.05;2017.00;4.39;0
32;supply_node;804.00;15.85;1907.00;1.04;0
32;supply_node;837.00;21.15;2040.00;5.08;0
32;supply_node;809.00;19.98;2043.00;0.28;0
32;supply_node;831.00;15.40;1957.00;3.22;0
32;supply_node;828.00;14.35;1917.00;5.80;0
32;supply_node;834.00;17.93;2012.00;2.45;0
32;supply_node;791.00;15.95;1905.00;3.93;0
32;supply_node;846.00;16.77;1968.00;1.69;0
32;supply_node;813.00;14.55;1950.00;4.62;0
32;supply_node;841.00;17.10;1985.00;6.10;0
32;supply_node;867.00;19.30;2023.00;3.86;0
32;supply_node;842.00;18.95;2000.00;5.34;0
32;supply_node;846.00;20.45;2043.00;1.99;0
32;supply_node;834.00;16.58;1975.00;6.03;0
32;supply_node;827.00;20.65;2034.00;1.23;0
32;supply_node;773.00;14.78;1904.00;4.17;0
32;supply_node;823.00;20.90;2044.00;0.46;0
32;supply_node;858.00;19.65;2044.00;3.40;0
32;supply_node;865.00;20.08;2038.00;0.06;0
32;supply_node;816.00;20.05;2035.00;2.64;0
32;supply_node;844.00;22.70;2030.00;5.57;0
32;supply_node;821.00;17.08;2012.00;0.77;0
32;supply_node;851.00;19.80;2007.00;4.81;0
32;supply_node;826.00;15.05;2003.00;1.46;0
32;supply_node;832.00;14.95;1993.00;2.94;0
32;supply_node;824.00;16.43;1971.00;0.70;0
32;supply_node;798.00;13.30;1951.00;2.18;0
32;supply_node;823.00;14.18;1947.00;5.11;0
32;supply_node;814.00;13.60;1936.00;2.87;0
32;supply_node;818.00;15.62;1924.00;4.35;0
32;supply_node;788.00;16.18;1917.00;1.01;0
32;bunker;855.00;22.85;2011.00;2.63;0
32;bunker;806.00;13.45;1941.00;4.19;0
32;bunker;869.00;17.93;2045.00;2.03;0
32;bunker;808.00;15.57;1911.00;3.24;0
32;bunker;842.00;20.85;2041.00;1.07;0
32;bunker;818.00;13.32;1939.00;2.63;0
32;bunker;826.00;14.55;2001.00;0.47;0
32;bunker;821.00;15.38;1971.00;1.68;0
32;bunker;832.00;15.32;1958.00;4.70;0
32;bunker;820.00;16.50;2025.00;2.54;0
32;bunker;813.00;14.25;1957.00;3.74;0
32;bunker;838.00;16.10;1986.00;1.58;0
32;bunker;805.00;15.43;1923.00;3.14;0
32;bunker;801.00;14.43;1961.00;5.81;0
32;bunker;810.00;14.15;1953.00;2.19;0
32;bunker;823.00;15.10;1949.00;0.03;0
32;bunker;820.00;15.23;1929.00;0.13;0
32;bunker;809.00;15.32;1922.00;4.25;0
32;bunker;829.00;16.38;2013.00;0.64;0
32;bunker;852.00;22.18;2028.00;3.30;0
32;bunker;770.00;11.82;1893.00;0.04;0
32;bunker;786.00;15.65;1905.00;2.70;0
32;bunker;848.00;18.00;1979.00;5.37;0
32;bunker;839.00;22.43;2018.00;1.75;0
32;bunker;839.00;17.68;1994.00;4.77;0
32;bunker;834.00;14.75;1978.00;1.15;0
32;bunker;855.00;20.08;2044.00;3.81;0
32;bunker;861.00;18.62;2020.00;5.37;0
32;bunker;823.00;14.45;1930.00;3.21;0
32;bunker;821.00;20.60;2045.00;4.42;0
32;bunker;840.00;20.55;2006.00;2.26;0
32;bunker;783.00;15.70;1921.00;5.28;0
32;bunker;802.00;13.30;1953.00;0.20;0
32;bunker;872.00;18.35;2043.00;4.32;0
32;bunker;828.00;21.10;2036.00;0.70;0
32;bunker;864.00;20.33;2027.00;2.26;0
32;bunker;831.00;13.82;1920.00;4.93;0
32;bunker;819.00;17.60;2014.00;2.77;0
32;bunker;839.00;22.90;2029.00;3.98;0
32;bunker;824.00;15.75;2020.00;0.71;0
32;bunker;853.00;17.85;1990.00;3.37;0
32;bunker;815.00;16.83;2030.00;1.21;0
32;bunker;844.00;20.33;2045.00;2.78;0
32;bunker;809.00;20.40;2041.00;5.44;0
32;anti_air_building;812.00;15.35;1922.00;3.28;0
32;anti_air_building;811.00;15.32;1915.00;4.49;0
32;anti_air_building;862.00;18.90;2016.00;1.22;0
32;synthetic_refinery;863.00;18.60;2016.00;3.88;0
32;fuel_silo;800.00;13.40;1965.00;0.27;0
32;radar_station;822.00;15.95;1969.00;4.04;0
32;rocket_site;786.00;16.18;1908.00;5.95;0
32;nuclear_reactor;792.00;15.32;1903.00;0.87;0
107;arms_factory;562.00;9.70;1870.00;4.48;0
107;arms_factory;568.00;9.70;1876.00;2.32;0
107;arms_factory;566.00;9.70;1859.00;3.52;0
107;arms_factory;586.00;9.70;1831.00;1.36;0
107;arms_factory;596.00;10.55;1818.00;2.92;0
107;arms_factory;559.00;9.70;1865.00;5.59;0
107;industrial_complex;593.00;10.70;1854.00;1.97;0
107;industrial_complex;568.00;9.70;1854.00;6.09;0
107;industrial_complex;586.00;9.70;1825.00;6.20;0
107;industrial_complex;598.00;10.45;1813.00;4.03;0
107;industrial_complex;558.00;9.70;1857.00;1.87;0
